,group_10yr,population,sex,year,zip
5831,40 to 49,4534,Male,2040,92020
5832,50 to 59,3680,Male,2040,92020
5833,60 to 69,2888,Male,2040,92020
5834,70 to 79,2456,Male,2040,92020
5835,80+,1754,Male,2040,92020
5836,Total Population,34146,Male,2040,92020
5837,Total Population,70398,Total,2040,92020
5838,Under 10,4946,Female,2045,92020
5839,10 to 19,4118,Female,2045,92020
5840,20 to 29,5057,Female,2045,92020
5841,30 to 39,4736,Female,2045,92020
5842,40 to 49,4244,Female,2045,92020
5843,50 to 59,4701,Female,2045,92020
5844,60 to 69,3537,Female,2045,92020
5845,70 to 79,2938,Female,2045,92020
5846,80+,2983,Female,2045,92020
5847,Total Population,37260,Female,2045,92020
5848,Under 10,5229,Male,2045,92020
5849,10 to 19,4359,Male,2045,92020
5850,20 to 29,5012,Male,2045,92020
5851,30 to 39,4646,Male,2045,92020
5852,40 to 49,4501,Male,2045,92020
5853,50 to 59,3993,Male,2045,92020
5854,60 to 69,3035,Male,2045,92020
5855,70 to 79,2276,Male,2045,92020
5856,80+,1836,Male,2045,92020
5857,Total Population,34887,Male,2045,92020
5858,Total Population,72147,Total,2045,92020
5859,Under 10,5114,Female,2050,92020
5860,10 to 19,4261,Female,2050,92020
5861,20 to 29,4901,Female,2050,92020
5862,30 to 39,4967,Female,2050,92020
5863,40 to 49,4266,Female,2050,92020
5864,50 to 59,4719,Female,2050,92020
5865,60 to 69,3822,Female,2050,92020
5866,70 to 79,2928,Female,2050,92020
5867,80+,2975,Female,2050,92020
5868,Total Population,37953,Female,2050,92020
5869,Under 10,5444,Male,2050,92020
5870,10 to 19,4506,Male,2050,92020
5871,20 to 29,5027,Male,2050,92020
5872,30 to 39,4746,Male,2050,92020
5873,40 to 49,4393,Male,2050,92020
5874,50 to 59,4300,Male,2050,92020
5875,60 to 69,3245,Male,2050,92020
5876,70 to 79,2218,Male,2050,92020
5877,80+,1750,Male,2050,92020
5878,Total Population,35629,Male,2050,92020
5879,Total Population,73582,Total,2050,92020
5880,Under 10,4325,Female,2012,92021
5881,10 to 19,4447,Female,2012,92021
5882,20 to 29,4922,Female,2012,92021
5883,30 to 39,4037,Female,2012,92021
5884,40 to 49,4483,Female,2012,92021
5885,50 to 59,4816,Female,2012,92021
5886,60 to 69,3281,Female,2012,92021
5887,70 to 79,1862,Female,2012,92021
5888,80+,1450,Female,2012,92021
5889,Total Population,33623,Female,2012,92021
5890,Under 10,4470,Male,2012,92021
5891,10 to 19,4854,Male,2012,92021
5892,20 to 29,4858,Male,2012,92021
5893,30 to 39,4061,Male,2012,92021
5894,40 to 49,4347,Male,2012,92021
5895,50 to 59,4613,Male,2012,92021
5896,60 to 69,2937,Male,2012,92021
5897,70 to 79,1485,Male,2012,92021
5898,80+,878,Male,2012,92021
5899,Total Population,32503,Male,2012,92021
5900,Total Population,66126,Total,2012,92021
5901,Under 10,4827,Female,2020,92021
5902,10 to 19,3932,Female,2020,92021
5903,20 to 29,4849,Female,2020,92021
5904,30 to 39,4600,Female,2020,92021
5905,40 to 49,4101,Female,2020,92021
5906,50 to 59,4505,Female,2020,92021
5907,60 to 69,4262,Female,2020,92021
5908,70 to 79,2589,Female,2020,92021
5909,80+,1496,Female,2020,92021
5910,Total Population,35161,Female,2020,92021
5911,Under 10,5144,Male,2020,92021
5912,10 to 19,4244,Male,2020,92021
5913,20 to 29,4985,Male,2020,92021
5914,30 to 39,4224,Male,2020,92021
5915,40 to 49,3952,Male,2020,92021
5916,50 to 59,4465,Male,2020,92021
5917,60 to 69,3767,Male,2020,92021
5918,70 to 79,2233,Male,2020,92021
5919,80+,957,Male,2020,92021
5920,Total Population,33971,Male,2020,92021
5921,Total Population,69132,Total,2020,92021
5922,Under 10,5286,Female,2025,92021
5923,10 to 19,4342,Female,2025,92021
5924,20 to 29,4667,Female,2025,92021
5925,30 to 39,4870,Female,2025,92021
5926,40 to 49,4723,Female,2025,92021
5927,50 to 59,4401,Female,2025,92021
5928,60 to 69,4689,Female,2025,92021
5929,70 to 79,3397,Female,2025,92021
5930,80+,1734,Female,2025,92021
5931,Total Population,38109,Female,2025,92021
5932,Under 10,5464,Male,2025,92021
5933,10 to 19,4583,Male,2025,92021
5934,20 to 29,4838,Male,2025,92021
5935,30 to 39,4570,Male,2025,92021
5936,40 to 49,4421,Male,2025,92021
5937,50 to 59,4231,Male,2025,92021
5938,60 to 69,4227,Male,2025,92021
5939,70 to 79,2928,Male,2025,92021
5940,80+,1137,Male,2025,92021
5941,Total Population,36399,Male,2025,92021
5942,Total Population,74508,Total,2025,92021
5943,Under 10,5335,Female,2030,92021
5944,10 to 19,4880,Female,2030,92021
5945,20 to 29,4768,Female,2030,92021
5946,30 to 39,5062,Female,2030,92021
5947,40 to 49,5357,Female,2030,92021
5948,50 to 59,4657,Female,2030,92021
5949,60 to 69,4600,Female,2030,92021
5950,70 to 79,3990,Female,2030,92021
5951,80+,2359,Female,2030,92021
5952,Total Population,41008,Female,2030,92021
5953,Under 10,5485,Male,2030,92021
5954,10 to 19,4974,Male,2030,92021
5955,20 to 29,4789,Male,2030,92021
5956,30 to 39,4942,Male,2030,92021
5957,40 to 49,4760,Male,2030,92021
5958,50 to 59,4302,Male,2030,92021
5959,60 to 69,4081,Male,2030,92021
5960,70 to 79,3527,Male,2030,92021
5961,80+,1549,Male,2030,92021
5962,Total Population,38409,Male,2030,92021
5963,Total Population,79417,Total,2030,92021
5964,Under 10,5278,Female,2035,92021
5965,10 to 19,4897,Female,2035,92021
5966,20 to 29,5080,Female,2035,92021
5967,30 to 39,4661,Female,2035,92021
5968,40 to 49,5402,Female,2035,92021
5969,50 to 59,5171,Female,2035,92021
5970,60 to 69,4265,Female,2035,92021
5971,70 to 79,4124,Female,2035,92021
5972,80+,2884,Female,2035,92021
5973,Total Population,41762,Female,2035,92021
5974,Under 10,5323,Male,2035,92021
5975,10 to 19,5009,Male,2035,92021
5976,20 to 29,4773,Male,2035,92021
5977,30 to 39,4677,Male,2035,92021
5978,40 to 49,4889,Male,2035,92021
5979,50 to 59,4508,Male,2035,92021
5980,60 to 69,3620,Male,2035,92021
5981,70 to 79,3733,Male,2035,92021
5982,80+,1938,Male,2035,92021
5983,Total Population,38470,Male,2035,92021
5984,Total Population,80232,Total,2035,92021
5985,Under 10,5318,Female,2040,92021
5986,10 to 19,4763,Female,2040,92021
5987,20 to 29,5490,Female,2040,92021
5988,30 to 39,4720,Female,2040,92021
5989,40 to 49,5278,Female,2040,92021
5990,50 to 59,5578,Female,2040,92021
5991,60 to 69,4365,Female,2040,92021
5992,70 to 79,3820,Female,2040,92021
5993,80+,3413,Female,2040,92021
5994,Total Population,42745,Female,2040,92021
5995,Under 10,5453,Male,2040,92021
5996,10 to 19,4951,Male,2040,92021
5997,20 to 29,4896,Male,2040,92021
5998,30 to 39,4474,Male,2040,92021
5999,40 to 49,5040,Male,2040,92021
6000,50 to 59,4748,Male,2040,92021
6001,60 to 69,3507,Male,2040,92021
6002,70 to 79,3547,Male,2040,92021
6003,80+,2363,Male,2040,92021
6004,Total Population,38979,Male,2040,92021
6005,Total Population,81724,Total,2040,92021
6006,Under 10,5446,Female,2045,92021
6007,10 to 19,4568,Female,2045,92021
6008,20 to 29,5415,Female,2045,92021
6009,30 to 39,4973,Female,2045,92021
6010,40 to 49,4913,Female,2045,92021
6011,50 to 59,5683,Female,2045,92021
6012,60 to 69,4787,Female,2045,92021
6013,70 to 79,3589,Female,2045,92021
6014,80+,3767,Female,2045,92021
6015,Total Population,43141,Female,2045,92021
6016,Under 10,5614,Male,2045,92021
6017,10 to 19,4927,Male,2045,92021
6018,20 to 29,4870,Male,2045,92021
6019,30 to 39,4456,Male,2045,92021
6020,40 to 49,4818,Male,2045,92021
6021,50 to 59,4826,Male,2045,92021
6022,60 to 69,3838,Male,2045,92021
6023,70 to 79,3239,Male,2045,92021
6024,80+,2644,Male,2045,92021
6025,Total Population,39232,Male,2045,92021
6026,Total Population,82373,Total,2045,92021
6027,Under 10,5588,Female,2050,92021
6028,10 to 19,4482,Female,2050,92021
6029,20 to 29,5088,Female,2050,92021
6030,30 to 39,5241,Female,2050,92021
6031,40 to 49,4768,Female,2050,92021
6032,50 to 59,5498,Female,2050,92021
6033,60 to 69,5031,Female,2050,92021
6034,70 to 79,3570,Female,2050,92021
6035,80+,3830,Female,2050,92021
6036,Total Population,43096,Female,2050,92021
6037,Under 10,5752,Male,2050,92021
6038,10 to 19,5030,Male,2050,92021
6039,20 to 29,4699,Male,2050,92021
6040,30 to 39,4478,Male,2050,92021
6041,40 to 49,4597,Male,2050,92021
6042,50 to 59,4899,Male,2050,92021
6043,60 to 69,3928,Male,2050,92021
6044,70 to 79,3209,Male,2050,92021
6045,80+,2592,Male,2050,92021
6046,Total Population,39184,Male,2050,92021
6047,Total Population,82280,Total,2050,92021
6048,Under 10,2864,Female,2012,92024
6049,10 to 19,3206,Female,2012,92024
6050,20 to 29,2481,Female,2012,92024
6051,30 to 39,3442,Female,2012,92024
6052,40 to 49,3952,Female,2012,92024
6053,50 to 59,4405,Female,2012,92024
6054,60 to 69,3228,Female,2012,92024
6055,70 to 79,1479,Female,2012,92024
6056,80+,1930,Female,2012,92024
6057,Total Population,26987,Female,2012,92024
6058,Under 10,3065,Male,2012,92024
6059,10 to 19,3584,Male,2012,92024
6060,20 to 29,2497,Male,2012,92024
6061,30 to 39,3429,Male,2012,92024
6062,40 to 49,3936,Male,2012,92024
6063,50 to 59,4200,Male,2012,92024
6064,60 to 69,3122,Male,2012,92024
6065,70 to 79,1180,Male,2012,92024
6066,80+,1030,Male,2012,92024
6067,Total Population,26043,Male,2012,92024
6068,Total Population,53030,Total,2012,92024
6069,Under 10,3417,Female,2020,92024
6070,10 to 19,2785,Female,2020,92024
6071,20 to 29,2434,Female,2020,92024
6072,30 to 39,3999,Female,2020,92024
6073,40 to 49,3626,Female,2020,92024
6074,50 to 59,4134,Female,2020,92024
6075,60 to 69,4121,Female,2020,92024
6076,70 to 79,2258,Female,2020,92024
6077,80+,2046,Female,2020,92024
6078,Total Population,28820,Female,2020,92024
6079,Under 10,3472,Male,2020,92024
6080,10 to 19,3012,Male,2020,92024
6081,20 to 29,2608,Male,2020,92024
6082,30 to 39,3745,Male,2020,92024
6083,40 to 49,3486,Male,2020,92024
6084,50 to 59,3977,Male,2020,92024
6085,60 to 69,3991,Male,2020,92024
6086,70 to 79,1918,Male,2020,92024
6087,80+,1134,Male,2020,92024
6088,Total Population,27343,Male,2020,92024
6089,Total Population,56163,Total,2020,92024
6090,Under 10,3461,Female,2025,92024
6091,10 to 19,3005,Female,2025,92024
6092,20 to 29,2180,Female,2025,92024
6093,30 to 39,3927,Female,2025,92024
6094,40 to 49,4021,Female,2025,92024
6095,50 to 59,3709,Female,2025,92024
6096,60 to 69,4253,Female,2025,92024
6097,70 to 79,2827,Female,2025,92024
6098,80+,2286,Female,2025,92024
6099,Total Population,29669,Female,2025,92024
6100,Under 10,3428,Male,2025,92024
6101,10 to 19,3088,Male,2025,92024
6102,20 to 29,2381,Male,2025,92024
6103,30 to 39,3725,Male,2025,92024
6104,40 to 49,3675,Male,2025,92024
6105,50 to 59,3520,Male,2025,92024
6106,60 to 69,4130,Male,2025,92024
6107,70 to 79,2379,Male,2025,92024
6108,80+,1295,Male,2025,92024
6109,Total Population,27621,Male,2025,92024
6110,Total Population,57290,Total,2025,92024
6111,Under 10,3265,Female,2030,92024
6112,10 to 19,3345,Female,2030,92024
6113,20 to 29,2147,Female,2030,92024
6114,30 to 39,3663,Female,2030,92024
6115,40 to 49,4271,Female,2030,92024
6116,50 to 59,3706,Female,2030,92024
6117,60 to 69,3898,Female,2030,92024
6118,70 to 79,3177,Female,2030,92024
6119,80+,2910,Female,2030,92024
6120,Total Population,30382,Female,2030,92024
6121,Under 10,3231,Male,2030,92024
6122,10 to 19,3207,Male,2030,92024
6123,20 to 29,2222,Male,2030,92024
6124,30 to 39,3662,Male,2030,92024
6125,40 to 49,3763,Male,2030,92024
6126,50 to 59,3398,Male,2030,92024
6127,60 to 69,3713,Male,2030,92024
6128,70 to 79,2696,Male,2030,92024
6129,80+,1713,Male,2030,92024
6130,Total Population,27605,Male,2030,92024
6131,Total Population,57987,Total,2030,92024
6132,Under 10,3116,Female,2035,92024
6133,10 to 19,3317,Female,2035,92024
6134,20 to 29,2374,Female,2035,92024
6135,30 to 39,3284,Female,2035,92024
6136,40 to 49,4211,Female,2035,92024
6137,50 to 59,4149,Female,2035,92024
6138,60 to 69,3524,Female,2035,92024
6139,70 to 79,3207,Female,2035,92024
6140,80+,3700,Female,2035,92024
6141,Total Population,30882,Female,2035,92024
6142,Under 10,3070,Male,2035,92024
6143,10 to 19,3145,Male,2035,92024
6144,20 to 29,2222,Male,2035,92024
6145,30 to 39,3323,Male,2035,92024
6146,40 to 49,3782,Male,2035,92024
6147,50 to 59,3575,Male,2035,92024
6148,60 to 69,3281,Male,2035,92024
6149,70 to 79,2770,Male,2035,92024
6150,80+,2147,Male,2035,92024
6151,Total Population,27315,Male,2035,92024
6152,Total Population,58197,Total,2035,92024
6153,Under 10,3118,Female,2040,92024
6154,10 to 19,3067,Female,2040,92024
6155,20 to 29,2659,Female,2040,92024
6156,30 to 39,3312,Female,2040,92024
6157,40 to 49,3869,Female,2040,92024
6158,50 to 59,4430,Female,2040,92024
6159,60 to 69,3551,Female,2040,92024
6160,70 to 79,2937,Female,2040,92024
6161,80+,4406,Female,2040,92024
6162,Total Population,31349,Female,2040,92024
6163,Under 10,3109,Male,2040,92024
6164,10 to 19,2963,Male,2040,92024
6165,20 to 29,2284,Male,2040,92024
6166,30 to 39,3126,Male,2040,92024
6167,40 to 49,3673,Male,2040,92024
6168,50 to 59,3674,Male,2040,92024
6169,60 to 69,3215,Male,2040,92024
6170,70 to 79,2532,Male,2040,92024
6171,80+,2559,Male,2040,92024
6172,Total Population,27135,Male,2040,92024
6173,Total Population,58484,Total,2040,92024
6174,Under 10,3306,Female,2045,92024
6175,10 to 19,2848,Female,2045,92024
6176,20 to 29,2631,Female,2045,92024
6177,30 to 39,3760,Female,2045,92024
6178,40 to 49,3487,Female,2045,92024
6179,50 to 59,4261,Female,2045,92024
6180,60 to 69,3986,Female,2045,92024
6181,70 to 79,2650,Female,2045,92024
6182,80+,4810,Female,2045,92024
6183,Total Population,31739,Female,2045,92024
6184,Under 10,3324,Male,2045,92024
6185,10 to 19,2863,Male,2045,92024
6186,20 to 29,2233,Male,2045,92024
6187,30 to 39,3180,Male,2045,92024
6188,40 to 49,3345,Male,2045,92024
6189,50 to 59,3681,Male,2045,92024
6190,60 to 69,3471,Male,2045,92024
6191,70 to 79,2268,Male,2045,92024
6192,80+,2773,Male,2045,92024
6193,Total Population,27138,Male,2045,92024
6194,Total Population,58877,Total,2045,92024
6195,Under 10,3599,Female,2050,92024
6196,10 to 19,2840,Female,2050,92024
6197,20 to 29,2355,Female,2050,92024
6198,30 to 39,4293,Female,2050,92024
6199,40 to 49,3511,Female,2050,92024
6200,50 to 59,3885,Female,2050,92024
6201,60 to 69,4190,Female,2050,92024
6202,70 to 79,2642,Female,2050,92024
6203,80+,4796,Female,2050,92024
6204,Total Population,32111,Female,2050,92024
6205,Under 10,3618,Male,2050,92024
6206,10 to 19,2948,Male,2050,92024
6207,20 to 29,2124,Male,2050,92024
6208,30 to 39,3313,Male,2050,92024
6209,40 to 49,3154,Male,2050,92024
6210,50 to 59,3640,Male,2050,92024
6211,60 to 69,3552,Male,2050,92024
6212,70 to 79,2259,Male,2050,92024
6213,80+,2705,Male,2050,92024
6214,Total Population,27313,Male,2050,92024
6215,Total Population,59424,Total,2050,92024
6216,Under 10,3871,Female,2012,92025
6217,10 to 19,3722,Female,2012,92025
6218,20 to 29,3438,Female,2012,92025
6219,30 to 39,3324,Female,2012,92025
6220,40 to 49,3122,Female,2012,92025
6221,50 to 59,2937,Female,2012,92025
6222,60 to 69,1831,Female,2012,92025
6223,70 to 79,951,Female,2012,92025
6224,80+,1074,Female,2012,92025
6225,Total Population,24270,Female,2012,92025
6226,Under 10,4029,Male,2012,92025
6227,10 to 19,3915,Male,2012,92025
6228,20 to 29,3795,Male,2012,92025
6229,30 to 39,3433,Male,2012,92025
6230,40 to 49,3250,Male,2012,92025
6231,50 to 59,2922,Male,2012,92025
6232,60 to 69,1742,Male,2012,92025
6233,70 to 79,872,Male,2012,92025
6234,80+,650,Male,2012,92025
6235,Total Population,24608,Male,2012,92025
6236,Total Population,48878,Total,2012,92025
6237,Under 10,5868,Female,2020,92025
6238,10 to 19,4409,Female,2020,92025
6239,20 to 29,4661,Female,2020,92025
6240,30 to 39,4564,Female,2020,92025
6241,40 to 49,3612,Female,2020,92025
6242,50 to 59,3526,Female,2020,92025
6243,60 to 69,2735,Female,2020,92025
6244,70 to 79,1645,Female,2020,92025
6245,80+,1280,Female,2020,92025
6246,Total Population,32300,Female,2020,92025
6247,Under 10,5878,Male,2020,92025
6248,10 to 19,4501,Male,2020,92025
6249,20 to 29,5373,Male,2020,92025
6250,30 to 39,4708,Male,2020,92025
6251,40 to 49,3744,Male,2020,92025
6252,50 to 59,3529,Male,2020,92025
6253,60 to 69,2600,Male,2020,92025
6254,70 to 79,1468,Male,2020,92025
6255,80+,788,Male,2020,92025
6256,Total Population,32589,Male,2020,92025
6257,Total Population,64889,Total,2020,92025
6258,Under 10,6439,Female,2025,92025
6259,10 to 19,4592,Female,2025,92025
6260,20 to 29,4616,Female,2025,92025
6261,30 to 39,5248,Female,2025,92025
6262,40 to 49,3914,Female,2025,92025
6263,50 to 59,3548,Female,2025,92025
6264,60 to 69,2965,Female,2025,92025
6265,70 to 79,2020,Female,2025,92025
6266,80+,1409,Female,2025,92025
6267,Total Population,34751,Female,2025,92025
6268,Under 10,6323,Male,2025,92025
6269,10 to 19,4610,Male,2025,92025
6270,20 to 29,5434,Male,2025,92025
6271,30 to 39,5431,Male,2025,92025
6272,40 to 49,4053,Male,2025,92025
6273,50 to 59,3449,Male,2025,92025
6274,60 to 69,2881,Male,2025,92025
6275,70 to 79,1826,Male,2025,92025
6276,80+,885,Male,2025,92025
6277,Total Population,34892,Male,2025,92025
6278,Total Population,69643,Total,2025,92025
6279,Under 10,6368,Female,2030,92025
6280,10 to 19,4712,Female,2030,92025
6281,20 to 29,4481,Female,2030,92025
6282,30 to 39,5448,Female,2030,92025
6283,40 to 49,4236,Female,2030,92025
6284,50 to 59,3441,Female,2030,92025
6285,60 to 69,2770,Female,2030,92025
6286,70 to 79,2170,Female,2030,92025
6287,80+,1653,Female,2030,92025
6288,Total Population,35279,Female,2030,92025
6289,Under 10,6233,Male,2030,92025
6290,10 to 19,4685,Male,2030,92025
6291,20 to 29,5207,Male,2030,92025
6292,30 to 39,5812,Male,2030,92025
6293,40 to 49,4194,Male,2030,92025
6294,50 to 59,3260,Male,2030,92025
6295,60 to 69,2739,Male,2030,92025
6296,70 to 79,2058,Male,2030,92025
6297,80+,1067,Male,2030,92025
6298,Total Population,35255,Male,2030,92025
6299,Total Population,70534,Total,2030,92025
6300,Under 10,6224,Female,2035,92025
6301,10 to 19,4911,Female,2035,92025
6302,20 to 29,4456,Female,2035,92025
6303,30 to 39,5212,Female,2035,92025
6304,40 to 49,4590,Female,2035,92025
6305,50 to 59,3536,Female,2035,92025
6306,60 to 69,2591,Female,2035,92025
6307,70 to 79,2198,Female,2035,92025
6308,80+,1883,Female,2035,92025
6309,Total Population,35601,Female,2035,92025
6310,Under 10,6168,Male,2035,92025
6311,10 to 19,4830,Male,2035,92025
6312,20 to 29,5025,Male,2035,92025
6313,30 to 39,5676,Male,2035,92025
6314,40 to 49,4598,Male,2035,92025
6315,50 to 59,3300,Male,2035,92025
6316,60 to 69,2523,Male,2035,92025
6317,70 to 79,2208,Male,2035,92025
6318,80+,1257,Male,2035,92025
6319,Total Population,35585,Male,2035,92025
6320,Total Population,71186,Total,2035,92025
6321,Under 10,6084,Female,2040,92025
6322,10 to 19,4961,Female,2040,92025
6323,20 to 29,4583,Female,2040,92025
6324,30 to 39,5077,Female,2040,92025
6325,40 to 49,4577,Female,2040,92025
6326,50 to 59,3664,Female,2040,92025
6327,60 to 69,2515,Female,2040,92025
6328,70 to 79,2099,Female,2040,92025
6329,80+,2147,Female,2040,92025
6330,Total Population,35707,Female,2040,92025
6331,Under 10,6054,Male,2040,92025
6332,10 to 19,4831,Male,2040,92025
6333,20 to 29,5023,Male,2040,92025
6334,30 to 39,5428,Male,2040,92025
6335,40 to 49,4854,Male,2040,92025
6336,50 to 59,3418,Male,2040,92025
6337,60 to 69,2443,Male,2040,92025
6338,70 to 79,2112,Male,2040,92025
6339,80+,1426,Male,2040,92025
6340,Total Population,35589,Male,2040,92025
6341,Total Population,71296,Total,2040,92025
6342,Under 10,6098,Female,2045,92025
6343,10 to 19,5076,Female,2045,92025
6344,20 to 29,4687,Female,2045,92025
6345,30 to 39,4900,Female,2045,92025
6346,40 to 49,4348,Female,2045,92025
6347,50 to 59,3963,Female,2045,92025
6348,60 to 69,2613,Female,2045,92025
6349,70 to 79,1983,Female,2045,92025
6350,80+,2323,Female,2045,92025
6351,Total Population,35991,Female,2045,92025
6352,Under 10,6039,Male,2045,92025
6353,10 to 19,4916,Male,2045,92025
6354,20 to 29,5110,Male,2045,92025
6355,30 to 39,5240,Male,2045,92025
6356,40 to 49,4732,Male,2045,92025
6357,50 to 59,3809,Male,2045,92025
6358,60 to 69,2506,Male,2045,92025
6359,70 to 79,1961,Male,2045,92025
6360,80+,1545,Male,2045,92025
6361,Total Population,35858,Male,2045,92025
6362,Total Population,71849,Total,2045,92025
6363,Under 10,6066,Female,2050,92025
6364,10 to 19,5207,Female,2050,92025
6365,20 to 29,4600,Female,2050,92025
6366,30 to 39,4885,Female,2050,92025
6367,40 to 49,4205,Female,2050,92025
